order_id,product_id,quantity,unit_price,unit_cost,discount
O000001,P019,63,18.48,11.88,0.12
O000001,P017,37,62.0,36.81,0.0
O000001,P010,146,16.5,8.27,0.0
O000001,P004,168,11.5,6.7,0.0
O000001,P007,8,41.0,22.96,0.0
O000001,P005,117,32.99,17.73,0.0
O000002,P013,152,12.69,8.46,0.06
O000002,P016,149,51.14,36.39,0.07
O000002,P003,147,16.99,9.82,0.0
O000003,P010,19,16.5,8.97,0.0
O000003,P019,20,21.0,13.68,0.0
O000003,P014,4,17.0,11.37,0.0
O000003,P020,7,149.0,89.79,0.0
O000004,P003,64,14.61,8.75,0.14
O000004,P006,23,17.5,9.65,0.0
O000004,P001,165,6.99,3.67,0.0
O000004,P014,55,17.0,10.06,0.0
O000004,P015,170,74.26,42.18,0.06
O000004,P012,20,56.32,35.78,0.12
O000004,P010,150,16.5,9.61,0.0
O000004,P008,124,8.25,4.82,0.0
O000004,P005,74,32.99,18.45,0.0
O000004,P018,25,16.5,9.45,0.0
O000005,P019,1,21.0,13.8,0.0
O000005,P020,9,149.0,88.75,0.0
O000006,P016,31,48.39,35.66,0.12
O000006,P003,78,16.99,9.59,0.0
O000006,P020,199,149.0,88.19,0.0
O000006,P012,85,55.68,36.6,0.13
O000006,P014,136,14.62,11.06,0.14
O000006,P006,123,15.93,9.03,0.09
O000006,P015,198,79.0,46.11,0.0
O000006,P011,18,165.0,90.33,0.0
O000007,P020,8,149.0,91.58,0.0
O000008,P004,188,11.5,5.84,0.0
O000008,P015,111,79.0,49.89,0.0
O000008,P020,67,138.57,86.21,0.07
O000008,P005,158,32.99,18.49,0.0
O000008,P016,22,54.99,31.01,0.0
O000009,P010,155,16.5,8.88,0.0
O000009,P020,43,149.0,85.99,0.0
O000010,P007,195,41.0,22.4,0.0
O000010,P008,102,8.25,4.48,0.0
O000010,P013,171,13.5,9.16,0.0
O000010,P019,14,21.0,11.18,0.0
O000010,P014,89,17.0,11.17,0.0
O000010,P001,117,6.99,3.24,0.0
O000010,P006,8,17.5,9.73,0.0
O000011,P011,165,165.0,102.57,0.0
O000011,P013,143,12.02,7.27,0.11
O000011,P003,78,16.99,10.34,0.0
O000011,P020,116,149.0,97.29,0.0
O000011,P019,185,21.0,13.42,0.0
O000011,P006,182,16.1,8.77,0.08
O000012,P017,25,54.56,39.99,0.12
O000012,P014,132,15.3,11.28,0.1
O000012,P006,70,17.5,9.13,0.0
O000012,P018,124,16.5,10.13,0.0
O000012,P020,45,149.0,78.07,0.0
O000013,P013,4,13.5,7.67,0.0
O000013,P016,19,54.99,31.67,0.0
O000014,P009,160,13.94,7.7,0.07
O000014,P001,69,6.99,3.74,0.0
O000014,P002,173,9.39,5.35,0.06
O000014,P016,165,50.04,33.97,0.09
O000014,P010,153,14.19,8.43,0.14
O000014,P013,88,12.69,8.69,0.06
O000014,P015,143,71.1,50.36,0.1
O000014,P004,74,10.01,6.65,0.13
O000015,P004,190,10.01,6.41,0.13
O000015,P015,147,79.0,44.61,0.0
O000015,P003,8,15.46,8.7,0.09
O000015,P005,196,32.99,19.23,0.0
O000015,P008,168,7.67,5.11,0.07
O000015,P014,11,17.0,10.55,0.0
O000015,P011,88,155.1,107.24,0.06
O000016,P002,10,9.99,5.74,0.0
O000016,P020,4,149.0,78.57,0.0
O000017,P014,16,17.0,10.54,0.0
O000017,P019,9,21.0,10.9,0.0
O000017,P005,12,32.99,17.18,0.0
O000017,P020,15,149.0,96.7,0.0
O000017,P004,12,11.5,5.55,0.0
O000018,P009,168,13.04,7.35,0.13
O000018,P007,67,41.0,25.24,0.0
O000018,P004,57,11.5,5.5,0.0
O000018,P015,58,79.0,47.1,0.0
O000018,P003,64,14.61,8.84,0.14
O000018,P011,5,165.0,92.09,0.0
O000018,P018,38,16.5,9.32,0.0
O000018,P017,33,58.9,40.48,0.05
O000019,P009,5,14.99,7.6,0.0
O000019,P002,17,9.99,4.64,0.0
O000020,P015,162,79.0,40.99,0.0
O000020,P017,173,62.0,39.15,0.0
O000020,P008,12,8.25,4.12,0.0
O000021,P003,154,14.44,9.33,0.15
O000021,P020,140,149.0,82.77,0.0
O000021,P011,115,165.0,87.86,0.0
O000021,P005,172,32.99,19.13,0.0
O000021,P019,189,21.0,13.4,0.0
O000021,P016,63,54.99,32.11,0.0
O000021,P017,107,56.42,38.15,0.09
O000021,P010,175,16.5,8.19,0.0
O000021,P018,180,14.36,10.18,0.13
O000022,P018,176,14.52,8.38,0.12
O000022,P002,197,9.99,5.03,0.0
O000022,P020,18,149.0,97.08,0.0
O000022,P011,95,165.0,87.96,0.0
O000023,P019,18,21.0,13.72,0.0
O000023,P008,20,8.25,4.74,0.0
O000023,P014,18,17.0,9.07,0.0
O000024,P011,6,165.0,106.16,0.0
O000024,P012,19,64.0,40.44,0.0
O000024,P001,3,6.99,3.27,0.0
O000025,P013,99,11.61,7.82,0.14
O000025,P014,157,15.81,9.21,0.07
O000025,P015,163,71.89,41.06,0.09
O000025,P011,113,165.0,97.03,0.0
O000025,P006,74,17.5,8.59,0.0
O000026,P017,82,62.0,43.18,0.0
O000026,P010,200,15.67,8.19,0.05
O000026,P002,196,8.99,5.04,0.1
O000026,P008,63,8.25,4.61,0.0
O000026,P013,95,13.5,7.34,0.0
O000026,P019,15,21.0,12.11,0.0
O000026,P001,24,6.99,3.9,0.0
O000026,P014,151,17.0,10.01,0.0
O000026,P004,79,10.58,5.57,0.08
O000027,P003,8,16.99,9.08,0.0
O000027,P014,13,17.0,10.31,0.0
O000027,P004,13,11.5,6.71,0.0
O000028,P017,4,62.0,39.24,0.0
O000029,P008,55,7.18,4.25,0.13
O000029,P004,24,11.5,5.67,0.0
O000029,P005,131,32.99,18.29,0.0
O000029,P009,153,14.99,7.09,0.0
O000030,P005,75,31.01,18.86,0.06
O000030,P015,123,68.73,45.58,0.13
O000030,P003,24,16.99,9.55,0.0
O000030,P016,28,54.99,33.72,0.0
O000030,P019,123,21.0,12.54,0.0
O000030,P011,194,165.0,106.78,0.0
O000030,P020,151,134.1,90.35,0.1
O000031,P003,117,16.99,9.28,0.0
O000031,P017,98,56.42,37.74,0.09
O000031,P006,91,15.58,9.63,0.11
O000031,P002,90,8.79,4.58,0.12
O000031,P008,77,8.25,4.33,0.0
O000031,P012,159,56.96,42.5,0.11
O000031,P016,41,48.39,36.13,0.12
O000032,P010,169,16.5,9.33,0.0
O000032,P018,176,16.5,9.68,0.0
O000032,P013,180,11.88,9.02,0.12
O000033,P011,44,165.0,87.33,0.0
O000033,P016,30,54.99,32.86,0.0
O000033,P007,194,37.72,24.66,0.08
O000033,P008,163,7.67,4.2,0.07
O000033,P005,182,32.99,19.67,0.0
O000034,P015,84,79.0,51.36,0.0
O000034,P010,54,16.5,8.43,0.0
O000034,P020,117,135.59,86.31,0.09
O000034,P008,140,7.67,4.52,0.07
O000034,P017,159,55.18,35.51,0.11
O000035,P003,116,16.99,8.31,0.0
O000035,P006,120,17.5,10.09,0.0
O000035,P009,111,14.99,6.39,0.0
O000035,P015,65,73.47,44.84,0.07
O000035,P005,86,32.99,20.39,0.0
O000035,P014,171,16.15,9.84,0.05
O000036,P015,9,79.0,42.93,0.0
O000036,P001,5,6.99,3.63,0.0
O000036,P003,20,16.99,9.29,0.0
O000036,P019,4,21.0,13.13,0.0
O000037,P003,5,15.46,9.48,0.09
O000037,P004,175,11.5,6.4,0.0
O000037,P016,97,54.99,29.34,0.0
O000037,P001,134,6.99,3.84,0.0
O000037,P008,10,8.25,4.49,0.0
O000037,P012,167,56.32,37.88,0.12
O000037,P020,96,131.12,93.26,0.12
O000037,P005,165,32.99,16.67,0.0
O000037,P007,198,36.9,21.63,0.1
O000038,P006,2,17.5,8.76,0.0
O000038,P005,2,32.99,19.76,0.0
O000038,P003,2,16.99,8.81,0.0
O000038,P015,10,79.0,46.3,0.0
O000039,P010,2,16.5,9.49,0.0
O000039,P012,11,64.0,36.8,0.0
O000040,P011,12,165.0,107.45,0.0
O000040,P006,17,17.5,8.7,0.0
O000040,P016,3,54.99,34.62,0.0
O000040,P018,3,16.5,9.07,0.0
O000041,P003,11,16.99,9.59,0.0
O000042,P012,24,64.0,40.58,0.0
O000042,P015,136,79.0,49.51,0.0
O000042,P002,12,9.99,4.68,0.0
O000042,P020,117,129.63,77.24,0.13
O000042,P014,98,17.0,9.91,0.0
O000042,P005,13,32.99,18.92,0.0
O000042,P011,99,165.0,94.34,0.0
O000042,P013,151,12.42,7.48,0.08
O000042,P001,76,6.15,3.37,0.12
O000043,P020,39,149.0,94.62,0.0
O000043,P010,187,14.52,8.6,0.12
O000043,P016,86,54.99,34.14,0.0
O000043,P007,145,41.0,22.78,0.0
O000043,P004,45,11.5,6.47,0.0
O000044,P007,131,41.0,19.94,0.0
O000044,P005,99,32.99,18.3,0.0
O000044,P008,38,7.59,4.74,0.08
O000045,P019,3,21.0,12.15,0.0
O000045,P003,17,16.99,8.88,0.0
O000045,P005,18,32.99,19.08,0.0
O000045,P011,6,165.0,103.73,0.0
O000046,P005,77,29.36,20.01,0.11
O000046,P010,146,16.5,8.23,0.0
O000046,P006,162,17.5,9.3,0.0
O000046,P018,48,16.5,9.43,0.0
O000046,P011,48,165.0,101.14,0.0
O000046,P015,159,79.0,44.3,0.0
O000046,P012,15,60.8,42.04,0.05
O000046,P004,169,10.69,6.56,0.07
O000046,P017,151,62.0,38.16,0.0
O000046,P009,132,14.99,7.86,0.0
O000047,P010,123,16.5,8.08,0.0
O000047,P015,85,67.15,50.19,0.15
O000047,P003,93,15.46,10.29,0.09
O000047,P002,148,9.39,4.63,0.06
O000047,P006,120,16.1,8.66,0.08
O000047,P008,103,8.25,5.02,0.0
O000047,P007,45,41.0,24.27,0.0
O000047,P019,189,21.0,11.74,0.0
O000048,P016,60,50.59,33.47,0.08
O000048,P001,157,6.99,3.92,0.0
O000048,P003,125,15.97,8.74,0.06
O000048,P013,39,13.5,8.96,0.0
O000048,P015,200,74.26,45.04,0.06
O000048,P004,148,11.5,5.69,0.0
O000049,P005,4,32.99,17.97,0.0
O000050,P007,13,41.0,22.55,0.0
O000050,P017,2,62.0,34.57,0.0
O000051,P017,13,62.0,43.61,0.0
O000051,P005,10,32.99,18.87,0.0
O000051,P011,17,165.0,105.17,0.0
O000051,P018,18,16.5,9.2,0.0
O000051,P006,19,17.5,8.77,0.0
O000052,P019,9,21.0,13.7,0.0
O000052,P010,19,16.5,8.88,0.0
O000052,P001,2,6.99,3.66,0.0
O000052,P016,6,54.99,32.99,0.0
O000053,P002,4,9.99,4.74,0.0
O000053,P019,15,21.0,11.74,0.0
O000054,P002,85,9.99,5.7,0.0
O000054,P005,141,28.7,17.74,0.13
O000054,P017,189,62.0,40.67,0.0
O000054,P007,72,38.13,23.16,0.07
O000054,P011,147,165.0,92.59,0.0
O000054,P016,81,54.99,34.97,0.0
O000054,P008,181,7.59,4.84,0.08
O000054,P009,189,13.19,6.78,0.12
O000054,P018,102,15.18,10.12,0.08
O000055,P012,15,64.0,40.43,0.0
O000056,P018,4,16.5,9.49,0.0
O000056,P009,19,14.99,6.72,0.0
O000056,P005,2,32.99,19.21,0.0
O000057,P011,172,165.0,107.71,0.0
O000057,P016,127,54.99,34.0,0.0
O000057,P004,78,11.5,5.88,0.0
O000057,P005,27,29.03,19.14,0.12
O000057,P001,14,6.01,3.95,0.14
O000057,P009,50,13.04,7.93,0.13
O000057,P003,131,16.99,8.52,0.0
O000057,P007,79,36.49,24.62,0.11
O000058,P017,46,62.0,41.15,0.0
O000058,P016,188,54.99,30.29,0.0
O000058,P005,80,32.99,18.76,0.0
O000058,P020,49,149.0,89.48,0.0
O000058,P015,108,79.0,49.8,0.0
O000058,P018,27,14.03,9.0,0.15
O000058,P004,127,10.58,5.89,0.08
O000058,P013,65,12.42,8.09,0.08
O000058,P002,154,8.79,5.4,0.12
O000058,P006,182,17.5,8.63,0.0
O000059,P004,127,11.5,5.63,0.0
O000059,P010,160,16.5,8.44,0.0
O000059,P012,125,64.0,41.39,0.0
O000059,P008,60,8.25,4.91,0.0
O000059,P017,157,56.42,42.49,0.09
O000059,P003,185,16.99,8.91,0.0
O000060,P011,15,165.0,88.26,0.0
O000060,P017,7,62.0,41.01,0.0
O000061,P015,136,79.0,45.17,0.0
O000061,P005,148,32.99,18.28,0.0
O000062,P019,2,21.0,12.07,0.0
O000062,P003,3,16.99,9.32,0.0
O000063,P002,112,9.99,4.97,0.0
O000063,P010,119,16.5,9.5,0.0
O000063,P014,101,17.0,9.2,0.0
O000063,P006,143,17.5,8.4,0.0
O000063,P005,35,32.99,17.0,0.0
O000063,P013,140,13.5,7.45,0.0
O000063,P011,5,165.0,103.46,0.0
O000063,P012,123,64.0,40.6,0.0
O000063,P018,141,14.85,8.95,0.1
O000064,P014,66,16.15,9.52,0.05
O000064,P001,158,6.99,3.74,0.0
O000065,P007,152,41.0,23.09,0.0
O000065,P002,87,9.99,4.8,0.0
O000065,P005,174,32.99,18.55,0.0
O000065,P017,75,62.0,34.78,0.0
O000065,P010,193,16.5,9.59,0.0
O000065,P004,114,10.58,6.23,0.08
O000065,P014,169,17.0,10.68,0.0
O000065,P012,86,64.0,40.81,0.0
O000065,P016,81,54.99,31.81,0.0
O000065,P006,126,15.05,8.64,0.14
O000066,P018,170,16.5,8.28,0.0
O000066,P017,99,62.0,35.08,0.0
O000066,P005,53,29.36,16.43,0.11
O000066,P013,15,11.74,8.95,0.13
O000066,P008,190,7.67,4.81,0.07
O000066,P020,90,149.0,82.94,0.0
O000066,P004,59,11.5,6.81,0.0
O000066,P006,35,17.5,9.78,0.0
O000067,P018,10,16.5,8.96,0.0
O000067,P011,18,165.0,100.91,0.0
O000068,P004,61,10.23,6.51,0.11
O000068,P016,154,54.99,33.43,0.0
O000068,P011,44,146.85,90.16,0.11
O000068,P007,67,41.0,22.55,0.0
O000068,P012,180,64.0,37.41,0.0
O000068,P006,130,17.5,10.27,0.0
O000068,P017,130,62.0,38.58,0.0
O000068,P001,95,6.99,3.3,0.0
O000068,P010,130,16.5,8.04,0.0
O000069,P002,1,9.99,5.02,0.0
O000070,P007,17,41.0,22.31,0.0
O000071,P016,142,47.84,36.62,0.13
O000071,P001,177,6.99,3.53,0.0
O000071,P019,50,19.74,11.12,0.06
O000071,P014,54,15.47,10.55,0.09
O000071,P018,106,16.5,8.28,0.0
O000071,P020,122,149.0,88.51,0.0
O000071,P009,62,14.99,6.82,0.0
O000071,P012,25,64.0,40.41,0.0
O000071,P005,199,32.99,16.34,0.0
O000072,P003,149,16.99,10.3,0.0
O000072,P016,140,47.29,36.15,0.14
O000072,P014,182,17.0,11.22,0.0
