order_id,customer_id,order_date,location,status
O000001,C0025,2024-01-01,Yard A - Providence,completed
O000002,C0111,2024-01-01,Yard B - Boston,completed
O000003,C0149,2024-01-01,Yard C - Hartford,completed
O000004,C0011,2024-01-01,Yard A - Providence,completed
O000005,C0198,2024-01-02,Yard B - Boston,completed
O000006,C0057,2024-01-03,Yard B - Boston,completed
O000007,C0177,2024-01-03,Yard C - Hartford,completed
O000008,C0002,2024-01-03,Yard C - Hartford,completed
O000009,C0120,2024-01-03,Yard C - Hartford,completed
O000010,C0098,2024-01-04,Yard C - Hartford,completed
O000011,C0020,2024-01-04,Yard A - Providence,completed
O000012,C0046,2024-01-04,Yard B - Boston,completed
O000013,C0153,2024-01-05,Yard B - Boston,completed
O000014,C0090,2024-01-05,Yard B - Boston,completed
O000015,C0104,2024-01-05,Yard B - Boston,completed
O000016,C0159,2024-01-05,Yard C - Hartford,completed
O000017,C0138,2024-01-05,Yard B - Boston,completed
O000018,C0070,2024-01-05,Yard C - Hartford,completed
O000019,C0151,2024-01-06,Yard C - Hartford,completed
O000020,C0058,2024-01-06,Yard B - Boston,completed
O000021,C0088,2024-01-06,Yard A - Providence,completed
O000022,C0013,2024-01-06,Yard C - Hartford,completed
O000023,C0165,2024-01-07,Yard C - Hartford,completed
O000024,C0155,2024-01-07,Yard A - Providence,completed
O000025,C0004,2024-01-07,Yard A - Providence,completed
O000026,C0015,2024-01-07,Yard B - Boston,completed
O000027,C0200,2024-01-07,Yard B - Boston,completed
O000028,C0149,2024-01-07,Yard B - Boston,completed
O000029,C0100,2024-01-08,Yard B - Boston,completed
O000030,C0082,2024-01-08,Yard C - Hartford,completed
O000031,C0008,2024-01-08,Yard B - Boston,completed
O000032,C0017,2024-01-08,Yard C - Hartford,completed
O000033,C0003,2024-01-08,Yard B - Boston,completed
O000034,C0057,2024-01-08,Yard A - Providence,completed
O000035,C0109,2024-01-09,Yard C - Hartford,completed
O000036,C0181,2024-01-09,Yard C - Hartford,completed
O000037,C0016,2024-01-09,Yard A - Providence,completed
O000038,C0143,2024-01-09,Yard C - Hartford,completed
O000039,C0190,2024-01-09,Yard B - Boston,completed
O000040,C0176,2024-01-09,Yard B - Boston,completed
O000041,C0144,2024-01-10,Yard C - Hartford,completed
O000042,C0078,2024-01-10,Yard C - Hartford,completed
O000043,C0034,2024-01-11,Yard B - Boston,completed
O000044,C0102,2024-01-11,Yard B - Boston,completed
O000045,C0182,2024-01-12,Yard C - Hartford,completed
O000046,C0065,2024-01-12,Yard A - Providence,completed
O000047,C0039,2024-01-12,Yard B - Boston,completed
O000048,C0066,2024-01-12,Yard B - Boston,completed
O000049,C0156,2024-01-13,Yard C - Hartford,completed
O000050,C0164,2024-01-13,Yard C - Hartford,completed
O000051,C0181,2024-01-13,Yard C - Hartford,completed
O000052,C0168,2024-01-13,Yard B - Boston,completed
O000053,C0169,2024-01-13,Yard A - Providence,completed
O000054,C0089,2024-01-13,Yard A - Providence,completed
O000055,C0139,2024-01-14,Yard B - Boston,completed
O000056,C0148,2024-01-14,Yard A - Providence,completed
O000057,C0082,2024-01-14,Yard A - Providence,completed
O000058,C0043,2024-01-14,Yard B - Boston,completed
O000059,C0021,2024-01-14,Yard B - Boston,completed
O000060,C0146,2024-01-15,Yard C - Hartford,completed
O000061,C0116,2024-01-15,Yard C - Hartford,completed
O000062,C0171,2024-01-15,Yard B - Boston,completed
O000063,C0115,2024-01-15,Yard A - Providence,returned
O000064,C0025,2024-01-15,Yard C - Hartford,completed
O000065,C0006,2024-01-15,Yard B - Boston,completed
O000066,C0060,2024-01-15,Yard A - Providence,completed
O000067,C0198,2024-01-16,Yard C - Hartford,completed
O000068,C0047,2024-01-16,Yard C - Hartford,completed
O000069,C0128,2024-01-16,Yard C - Hartford,completed
O000070,C0150,2024-01-16,Yard A - Providence,completed
O000071,C0082,2024-01-16,Yard C - Hartford,completed
O000072,C0061,2024-01-16,Yard A - Providence,completed
O000073,C0070,2024-01-16,Yard C - Hartford,completed
O000074,C0096,2024-01-17,Yard B - Boston,completed
O000075,C0004,2024-01-17,Yard A - Providence,completed
O000076,C0035,2024-01-17,Yard B - Boston,completed
O000077,C0080,2024-01-17,Yard B - Boston,completed
O000078,C0147,2024-01-17,Yard B - Boston,completed
O000079,C0033,2024-01-18,Yard C - Hartford,completed
O000080,C0087,2024-01-19,Yard C - Hartford,completed
O000081,C0178,2024-01-19,Yard B - Boston,completed
O000082,C0087,2024-01-19,Yard A - Providence,completed
O000083,C0129,2024-01-19,Yard C - Hartford,completed
O000084,C0200,2024-01-19,Yard A - Providence,completed
O000085,C0050,2024-01-20,Yard B - Boston,completed
O000086,C0184,2024-01-20,Yard C - Hartford,completed
O000087,C0111,2024-01-20,Yard A - Providence,completed
O000088,C0097,2024-01-20,Yard B - Boston,completed
O000089,C0112,2024-01-20,Yard C - Hartford,completed
O000090,C0084,2024-01-20,Yard A - Providence,completed
O000091,C0068,2024-01-21,Yard C - Hartford,completed
O000092,C0077,2024-01-21,Yard C - Hartford,completed
O000093,C0130,2024-01-21,Yard A - Providence,completed
O000094,C0102,2024-01-21,Yard B - Boston,completed
O000095,C0055,2024-01-21,Yard B - Boston,completed
O000096,C0174,2024-01-21,Yard A - Providence,completed
